0.000	0.028
0.001	0.116
0.002	0.181
0.003	0.326
0.004	0.230
0.005	0.243
0.006	0.282
0.007	0.170
0.008	0.113
0.009	-0.136
0.010	-0.161
0.011	-0.199
0.012	-0.275
0.013	-0.235
0.014	-0.235
0.015	-0.174
0.016	-0.098
0.017	0.019
0.018	0.166
0.019	0.242
0.020	0.324
0.021	0.303
0.022	0.299
0.023	0.174
0.024	0.124
0.025	-0.030
0.026	-0.191
0.027	-0.277
0.028	-0.305
0.029	-0.279
0.030	-0.225
0.031	-0.279
0.032	-0.186
0.033	-0.088
0.034	0.054
0.035	0.166
0.036	0.187
0.037	0.228
0.038	0.271
0.039	0.220
0.040	0.169
0.041	0.134
0.042	-0.039
0.043	-0.238
0.044	-0.287
0.045	-0.217
0.046	-0.303
0.047	-0.232
0.048	-0.246
0.049	-0.121
0.050	0.047
0.051	0.130
0.052	0.232
0.053	0.324
0.054	0.257
0.055	0.328
0.056	0.282
0.057	0.172
0.058	0.092
0.059	-0.163
0.060	-0.261
0.061	-0.292
0.062	-0.290
0.063	-0.242
0.064	-0.316
0.065	-0.209
0.066	-0.076
0.067	0.120
0.068	0.236
0.069	0.224
0.070	0.278
0.071	0.235
0.072	0.317
0.073	0.239
0.074	0.180
0.075	-0.048
0.076	-0.108
0.077	-0.166
0.078	-0.307
0.079	-0.300
0.080	-0.295
0.081	-0.242
0.082	-0.151
0.083	-0.078
0.084	0.166
0.085	0.140
0.086	0.306
0.087	0.293
0.088	0.219
0.089	0.239
0.090	0.174
0.091	0.065
0.092	-0.052
0.093	-0.149
0.094	-0.289
0.095	-0.238
0.096	-0.238
0.097	-0.232
0.098	-0.206
0.099	-0.172
0.100	-0.029
0.101	0.090
0.102	0.205
0.103	0.216
0.104	0.278
0.105	0.295
0.106	0.169
0.107	0.212
0.108	0.087
0.109	-0.121
0.110	-0.185
0.111	-0.255
0.112	-0.272
0.113	-0.310
0.114	-0.282
0.115	-0.207
0.116	-0.151
0.117	0.004
0.118	0.246
0.119	0.250
0.120	0.250
